time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,solenoid_6_state,solenoid_4_state,doublesolenoid_2-7_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_7_current,talon_7_voltage,talon_7_value,talon_7_position,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,doublesolenoid_3-0_state,doublesolenoid_5-1_state,
28,12.0,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.75,0.0,0,0.125,11.7,0.00390625,10060,0.125,11.8,0.0,0,false,false,kOff,0.125,11.7,0.0,-302,0.125,11.55,0.0078125,0,0.125,11.8,0.0078125,0,kReverse,kOff,
91,11.95,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.9,0.0,0,0.125,11.7,0.00390625,10060,0.125,11.8,0.0,0,false,false,kOff,0.125,11.7,0.0,-302,0.0,11.850000000000001,0.0078125,0,0.125,11.8,0.0078125,0,kReverse,kOff,
131,12.0,0.0,0.0,112914.46750000001,0.125,11.9,0.00390625,25150,0.125,11.9,0.0,0,0.0,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.0,11.850000000000001,0.0078125,0,0.125,11.9,0.0078125,0,kReverse,kOff,
157,12.0,0.0,0.0,112914.46750000001,0.125,11.9,0.00390625,25150,0.125,11.9,0.0,0,0.0,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.125,11.850000000000001,0.0078125,0,0.125,11.9,0.0078125,0,kReverse,kOff,
191,11.95,0.0,0.0,112914.46750000001,0.125,11.9,0.00390625,25150,0.125,11.9,0.0,0,0.125,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.125,11.850000000000001,0.0078125,0,0.125,11.9,0.0078125,0,kReverse,kOff,
231,11.95,0.0,0.0,112914.46750000001,0.125,11.9,0.00390625,25150,0.125,11.9,0.0,0,0.0,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.125,11.850000000000001,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
270,12.0,0.0,0.0,112914.46750000001,0.125,11.9,0.00390625,25150,0.125,11.9,0.0,0,0.125,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.0,11.8,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
311,11.95,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.9,0.0,0,0.125,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.0,11.8,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
351,11.95,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.9,0.0,0,0.0,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.0,11.8,0.0078125,0,0.125,11.9,0.0078125,0,kReverse,kOff,
390,11.95,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.9,0.0,0,0.125,11.850000000000001,0.00390625,10060,0.125,11.9,0.0,0,false,false,kOff,0.125,11.8,0.0,-302,0.0,11.8,0.0078125,0,0.125,11.9,0.0078125,0,kReverse,kOff,
431,11.9,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.9,0.0,0,0.125,11.850000000000001,0.00390625,10060,0.125,11.850000000000001,0.0,0,false,false,kOff,0.125,11.75,0.0,-302,0.0,11.8,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
471,11.9,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.9,0.0,0,0.0,11.850000000000001,0.00390625,10060,0.125,11.850000000000001,0.0,0,false,false,kOff,0.125,11.75,0.0,-302,0.125,11.8,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
510,11.95,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.9,0.0,0,0.0,11.850000000000001,0.00390625,10060,0.125,11.850000000000001,0.0,0,false,false,kOff,0.125,11.75,0.0,-302,0.0,11.8,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
550,11.850000000000001,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.850000000000001,0.0,0,0.0,11.850000000000001,0.00390625,10060,0.125,11.850000000000001,0.0,0,false,false,kOff,0.125,11.75,0.0,-302,0.0,11.75,0.0078125,0,0.125,11.9,0.0078125,0,kReverse,kOff,
614,11.9,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.850000000000001,0.0,0,0.125,11.8,0.00390625,10060,0.125,11.850000000000001,0.0,0,false,false,kOff,0.125,11.75,0.0,-302,0.0,11.75,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
651,11.9,0.0,0.0,112914.46750000001,0.125,11.850000000000001,0.00390625,25150,0.125,11.850000000000001,0.0,0,0.125,11.8,0.00390625,10060,0.125,11.850000000000001,0.0,0,false,false,kOff,0.125,11.75,0.0,-302,0.0,11.75,0.0078125,0,0.0,11.9,0.0078125,0,kReverse,kOff,
