time,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,solenoid_6_state,solenoid_4_state,doublesolenoid_2-7_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,doublesolenoid_3-0_state,doublesolenoid_5-1_state,
,0.125,12.0,0.2,49233,0.25,11.9,0.0,0,0.25,11.95,0.2,46466,0.25,12.0,0.0,0,false,false,kOff,0.0,11.9,0.0,-5255,0.0,12.0,0.0,0,kReverse,kReverse,
,1.25,12.0,0.2,49233,0.625,11.9,0.0,0,0.5,11.95,0.2,46466,1.625,12.0,0.0,0,false,false,kOff,0.0,11.9,0.0,-5255,0.0,12.0,0.0,0,kReverse,kReverse,
,1.625,12.0,0.2,49233,0.875,11.9,0.0,0,0.75,11.75,0.2,46495,1.75,12.0,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,12.0,0.0,0,kReverse,kReverse,
,1.875,12.0,0.2,49233,0.875,11.9,0.0,0,0.75,11.75,0.2,46495,2.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
,1.5,11.850000000000001,0.2,49290,0.5,11.9,0.0,0,0.5,11.75,0.2,46495,1.625,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
,0.875,11.850000000000001,0.2,49290,0.25,11.9,0.0,0,0.5,11.75,0.2,46495,1.375,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
,0.75,11.850000000000001,0.2,49290,0.25,11.9,0.0,0,0.25,11.75,0.2,46495,1.125,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
,0.5,11.850000000000001,0.2,49290,0.25,11.9,0.0,0,0.25,11.75,0.2,46495,0.75,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
,0.5,11.850000000000001,0.2,49290,0.25,11.9,0.0,0,0.25,11.75,0.2,46495,0.5,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
,0.5,11.850000000000001,0.2,49290,0.25,11.9,0.0,0,0.25,11.75,0.2,46495,0.5,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-5255,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
