time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_7_current,talon_7_voltage,talon_7_value,talon_7_position,talon_7_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
43,12.8,0.0,0.0,27264.072500000002,0.125,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.700000000000001,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
79,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.700000000000001,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
106,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.700000000000001,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
139,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.700000000000001,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
165,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.700000000000001,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
199,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.6,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
227,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.6,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
259,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.6,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
285,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.6,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
320,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.6,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
345,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
380,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.125,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
420,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
460,12.85,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
500,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
539,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
579,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
605,12.8,0.0,0.0,27264.072500000002,0.125,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
639,12.8,0.0,0.0,27264.072500000002,0.125,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
679,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.125,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
723,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
760,12.8,0.0,0.0,27264.072500000002,0.25,12.700000000000001,7.8125,44302,0.0,0.125,12.75,0.0,0,0.0,0.0,12.65,7.8125,15937,0.0,0.0,12.75,0.0,0,0.0,false,true,kOff,0.0,12.65,-0.0078125,0,0.0,0.0,12.65,0.0,0,0.0,0.0,12.75,0.0078125,0,0.0,kReverse,kOff,
