time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
49,10.9,0.0,0.0,0.0,0.125,10.7,6.09375,-2,0.0,0.0,11.55,0.0,0,0.0,0.0,10.9,6.09375,-2,0.0,0.0,10.8,0.0,0,0.0,false,false,kOff,0.0,10.8,0.0,2272,0.0,0.0,10.850000000000001,0.0,0,0.0,kReverse,kOff,
81,11.15,0.0,0.0,0.0,0.125,10.7,6.09375,-2,0.0,0.0,11.55,0.0,0,0.0,0.0,10.9,6.09375,-2,0.0,0.0,10.8,0.0,0,0.0,false,false,kOff,0.0,10.8,0.0,2272,0.0,0.0,10.850000000000001,0.0,0,0.0,kReverse,kOff,
106,11.2,0.0,0.0,0.0,0.125,10.7,6.09375,-2,0.0,0.0,11.55,0.0,0,0.0,0.0,10.9,6.09375,-2,0.0,0.0,10.8,0.0,0,0.0,false,false,kOff,0.0,10.8,0.0,2272,0.0,0.0,10.850000000000001,0.0,0,0.0,kReverse,kOff,
141,11.25,0.0,0.0,0.0,0.125,10.7,6.09375,-2,0.0,0.125,11.2,0.0,0,0.0,0.0,10.9,6.09375,-2,0.0,0.0,10.8,0.0,0,0.0,false,false,kOff,0.0,10.8,0.0,2272,0.0,0.0,10.850000000000001,0.0,0,0.0,kReverse,kOff,
166,11.3,0.0,0.0,0.0,0.125,10.7,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,0.0,10.9,6.09375,-2,0.0,0.0,10.8,0.0,0,0.0,false,false,kOff,0.0,10.8,0.0,2272,0.0,0.0,10.850000000000001,0.0,0,0.0,kReverse,kOff,
203,11.3,0.0,0.0,0.0,0.125,11.2,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.15,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
241,11.3,0.0,0.0,0.0,0.125,11.2,6.09375,-2,0.0,0.125,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.15,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
267,11.25,0.0,0.0,0.0,0.125,11.2,6.09375,-2,0.0,0.125,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.15,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
301,11.3,0.0,0.0,0.0,0.125,11.2,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.15,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
341,11.25,0.0,0.0,0.0,0.125,11.2,6.09375,-2,0.0,0.125,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.15,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
368,11.3,0.0,0.0,0.0,0.125,11.15,6.09375,-2,0.0,0.125,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.100000000000001,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
401,11.25,0.0,0.0,0.0,0.125,11.15,6.09375,-2,0.0,0.125,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.100000000000001,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
427,11.25,0.0,0.0,0.0,0.125,11.15,6.09375,-2,0.0,0.125,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.100000000000001,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
462,11.25,0.0,0.0,0.0,0.125,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.100000000000001,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
503,11.25,0.0,0.0,0.0,0.125,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,0.0,11.15,6.09375,-2,0.0,0.0,11.2,0.0,0,0.0,false,false,kOff,0.0,11.100000000000001,0.0,2272,0.0,0.0,11.2,0.0,0,0.0,kReverse,kOff,
