time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
46,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.4,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
82,12.55,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.4,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
122,12.5,0.0,0.0,5412.2225,0.25,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.4,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
161,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
202,12.55,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
227,12.5,0.0,0.0,5412.2225,0.25,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
262,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
287,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
322,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
349,12.55,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
382,12.5,0.0,0.0,5412.2225,0.25,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
408,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
443,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
482,12.55,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
522,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
547,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
582,12.5,0.0,0.0,5412.2225,0.25,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
608,12.5,0.0,0.0,5412.2225,0.125,12.4,6.09375,5612,0.0,0.125,12.450000000000001,0.0,0,0.0,0.0,12.4,6.09375,5548,0.0,0.0,12.450000000000001,0.0,0,0.0,false,false,kOff,0.0,12.35,-0.0078125,30,0.0,0.0,12.450000000000001,-0.0078125,261,0.0,kReverse,kOff,
